id,date,category,amount,establishment
56,2023-11-03,Rent,515.22,Property Management
65,2023-11-09,Groceries,95.96,Costco
91,2023-11-18,Groceries,960.95,Walmart
40,2023-12-01,Transport,1377.19,Train Station
85,2023-12-01,Transport,600.99,Uber
20,2023-12-01,Entertainment,629.28,Concert Venue
16,2023-12-03,Groceries,857.6,Kroger
19,2023-12-04,Utilities,826.17,Internet Provider
33,2023-12-07,Groceries,253.66,Kroger
95,2023-12-08,Shopping,271.99,Best Buy
37,2023-12-12,Dining,215.03,Pizza Hut
54,2023-12-18,Rent,491.89,Apartment Complex
94,2023-12-19,Utilities,462.1,Electric Co.
92,2023-12-20,Shopping,1053.31,Target
99,2023-12-31,Dining,1064.08,Fine Dining Restaurant
14,2024-01-11,Shopping,1060.8,Best Buy
15,2024-01-14,Utilities,169.81,Gas Co.
9,2024-01-15,Dining,783.53,Pizza Hut
34,2024-01-22,Shopping,970.72,eBay
88,2024-01-23,Rent,101.11,Apartment Complex
48,2024-01-29,Utilities,775.36,Water Works
8,2024-02-01,Transport,1248.03,Uber
27,2024-02-09,Utilities,1138.7,Trash Collection
26,2024-02-12,Shopping,531.66,Amazon
29,2024-02-17,Entertainment,176.73,Spotify
83,2024-02-18,Transport,874.32,Lyft
60,2024-02-19,Entertainment,298.84,Netflix
2,2024-02-22,Rent,1160.52,Apartment Complex
80,2024-02-23,Transport,259.78,Uber
28,2024-02-28,Groceries,39.05,Costco
78,2024-03-03,Dining,707.03,Local Cafe
42,2024-03-07,Rent,874.58,Property Management
30,2024-03-09,Entertainment,487.33,Movie Theater
51,2024-03-13,Dining,1091.2,Pizza Hut
32,2024-03-16,Rent,1309.82,Property Management
74,2024-03-26,Rent,659.85,Apartment Complex
3,2024-03-26,Utilities,58.21,Internet Provider
5,2024-04-05,Shopping,770.77,Target
82,2024-04-11,Rent,905.36,Apartment Complex
96,2024-04-11,Utilities,285.4,Water Works
52,2024-04-18,Entertainment,856.46,Concert Venue
7,2024-04-21,Entertainment,720.17,Concert Venue
89,2024-05-01,Groceries,1345.01,Whole Foods
17,2024-05-01,Dining,473.44,Fine Dining Restaurant
12,2024-05-02,Dining,217.1,Local Cafe
86,2024-05-04,Rent,1078.43,Property Management
100,2024-05-13,Transport,865.22,Uber
84,2024-05-14,Groceries,1441.35,Trader Joe's
21,2024-05-18,Dining,1079.6,Pizza Hut
4,2024-05-18,Shopping,625.12,Best Buy
43,2024-05-19,Shopping,1192.86,Target
50,2024-05-25,Dining,507.14,Pizza Hut
77,2024-05-27,Groceries,357.41,Whole Foods
59,2024-05-28,Groceries,81.43,Trader Joe's
38,2024-05-28,Utilities,323.91,Water Works
6,2024-05-29,Dining,367.59,McDonalds
66,2024-05-30,Shopping,1212.98,Target
81,2024-06-03,Shopping,1045.11,eBay
55,2024-06-04,Dining,451.68,Local Cafe
87,2024-06-22,Utilities,993.63,Gas Co.
72,2024-06-27,Transport,1413.43,Uber
11,2024-07-01,Transport,1479.65,Uber
58,2024-07-06,Rent,26.97,Apartment Complex
64,2024-07-12,Shopping,1272.16,Macy's
10,2024-07-17,Rent,920.39,Property Management
25,2024-07-18,Shopping,1298.05,Target
41,2024-07-19,Shopping,595.13,eBay
98,2024-07-20,Entertainment,910.43,Bowling Alley
24,2024-07-21,Groceries,1304.18,Kroger
76,2024-07-23,Groceries,311.51,Kroger
45,2024-07-30,Dining,1281.46,McDonalds
36,2024-07-31,Groceries,295.21,Walmart
75,2024-08-01,Dining,1172.01,Fine Dining Restaurant
53,2024-08-04,Utilities,713.53,Internet Provider
49,2024-08-06,Utilities,19.3,Internet Provider
69,2024-08-06,Transport,861.42,Train Station
31,2024-08-07,Shopping,969.04,Amazon
63,2024-08-13,Transport,958.41,Lyft
13,2024-08-16,Dining,875.07,McDonalds
39,2024-08-21,Transport,704.31,Lyft
97,2024-08-23,Shopping,414.64,Target
35,2024-08-25,Utilities,84.77,Water Works
61,2024-08-28,Groceries,1221.59,Kroger
1,2024-08-30,Entertainment,127.82,Bowling Alley
93,2024-08-30,Entertainment,312.39,Movie Theater
18,2024-08-30,Groceries,1483.56,Walmart
47,2024-09-01,Shopping,234.97,Target
67,2024-09-03,Transport,434.55,Lyft
44,2024-09-04,Rent,1048.25,Apartment Complex
62,2024-09-05,Rent,481.91,Apartment Complex
68,2024-09-15,Groceries,564.59,Whole Foods
79,2024-09-20,Transport,793.77,Lyft
71,2024-09-22,Entertainment,652.09,Spotify
73,2024-09-23,Groceries,1058.31,Kroger
57,2024-10-01,Entertainment,416.5,Spotify
70,2024-10-01,Rent,630.35,Apartment Complex
46,2024-10-03,Entertainment,1266.82,Movie Theater
90,2024-10-12,Entertainment,299.49,Movie Theater
23,2024-10-19,Utilities,1307.12,Internet Provider
22,2024-10-20,Transport,641.03,Train Station
